"","X","Ess","Length","PSum","fEss"
"1",1,0,45,0,0
"2",2,0,40,0,0
"3",3,0,35,0,0
"4",4,0,30,0,0
"5",5,0,25,0,0
"6",6,0,20,0,0
"7",7,0,15,0,0
"8",8,0,10,0,0
"9",9,0,5,0,0
"10",10,0.05,45,0.0658070525816451,0.0818830664750408
"11",11,0.05,40,0.0658070524173466,0.0818700429669888
"12",12,0.05,35,0.0658070505952491,0.0818532984566363
"13",13,0.05,30,0.0658070303878734,0.0818309724428329
"14",14,0.05,25,0.065806806284191,0.0817997160235082
"15",15,0.05,20,0.065804320880526,0.0817528313945211
"16",16,0.05,15,0.0657767504744121,0.0816746903462092
"17",17,0.05,10,0.065470143685582,0.0815184082495855
"18",18,0.05,5,0.0619632929644266,0.0810495619597144
"19",19,0.1,45,0.126586307819243,0.152474375825515
"20",20,0.1,40,0.126586307513237,0.152450210828926
"21",21,0.1,35,0.126586304119588,0.152419141547597
"22",22,0.1,30,0.126586266483435,0.152377715839158
"23",23,0.1,25,0.126585849091217,0.152319719847344
"24",24,0.1,20,0.126581220031998,0.152232725859623
"25",25,0.1,15,0.126529869620637,0.152087735880088
"26",26,0.1,10,0.125958735780031,0.151797755921017
"27",27,0.1,5,0.119417295630894,0.150927816043806
"28",28,0.15,45,0.182732754805297,0.213962766532958
"29",29,0.15,40,0.182732754377847,0.213928979260475
"30",30,0.15,35,0.182732749637354,0.21388553848157
"31",31,0.15,30,0.182732697064469,0.213827617443029
"32",32,0.15,25,0.182732114020959,0.213746527989071
"33",33,0.15,20,0.182725647810998,0.213624893808135
"34",34,0.15,15,0.182653916964812,0.213422170173242
"35",35,0.15,10,0.181856004432996,0.213016722903455
"36",36,0.15,5,0.172704532267058,0.211800381094095
"37",37,0.2,45,0.234610830154135,0.26800564797567
"38",38,0.2,40,0.234610829623386,0.267963482948365
"39",39,0.2,35,0.234610823737287,0.267909270770402
"40",40,0.2,30,0.234610758459434,0.267836987866451
"41",41,0.2,25,0.234610034515287,0.26773579180092
"42",42,0.2,20,0.234602005646777,0.267583997702623
"43",43,0.2,15,0.234512938926856,0.267331007538794
"44",44,0.2,10,0.233522060990337,0.266825027211137
"45",45,0.2,5,0.222141694021909,0.265307086228166
"46",46,0.25,45,0.282556725884008,0.315881048330195
"47",47,0.25,40,0.282556725266184,0.315831538281531
"48",48,0.25,35,0.282556718414412,0.315767882504677
"49",49,0.25,30,0.282556642427081,0.315683008135538
"50",50,0.25,25,0.282555799712645,0.315564184018743
"51",51,0.25,20,0.282546453618208,0.315385947843551
"52",52,0.25,15,0.282442773319481,0.315088887551565
