"","Ess","Sum10","Sum25","Sum50","Sum75","Sum100","Sum125","Sum150","Sum200","Sum250","Sum300","Sum400","Sum500","Sum600","Sum750","Sum1000","Sum1250","Sum1500","Sum2000"
"1",-5,-886.754859322849,-11531.5197253362,-87206.1741289496,-288803.495953083,-678053.780879974,-1316686.03222275,-2266428.91850471,-5346160.70397949,-10411076.9174042,-17955004.9962769,-42455205.9313965,-82797381.3935547,-142932149.027344,-278887386.109375,-660409488.3125,-1289092081.625,-2226663564.375,-5275386774.5
"2",-4,-153.359730293297,-809.146495789973,-3088.83255284722,-6850.68231068924,-12094.3188472316,-18819.6104255989,-27026.4955538958,-47884.9248988628,-74669.462436676,-107380.042360544,-190579.201285362,-297482.250572205,-428089.122409821,-668444.021095276,-1187554.28433228,-1854812.88323975,-2670219.75097656,-4745478.16064453
"3",-3,-31.4873006025771,-71.4444614366612,-138.090364459218,-204.749276026065,-271.411900425446,-338.076087901602,-404.741079080501,-538.072292298079,-671.404339727014,-804.736809990369,-1071.40239132568,-1338.06840313226,-1604.73463200778,-2004.73419255018,-2671.40041947365,-3338.06681883335,-4004.73330843449,-5338.06641960144
"4",-2,-7.7580300551565,-10.0543456505562,-11.8512660658921,-12.9150739538782,-13.6734581943447,-14.2632303169948,-14.7458959941923,-15.5086339866066,-16.1010307892029,-16.5854514341336,-17.3503889668063,-17.9441086034058,-18.4294124341104,-19.0235745701648,-19.7898390842602,-20.3843557800865,-20.8701913458062,-21.6368993925862
"5",-1,-1.87022718539402,-1.97547128111354,-2.01320337756164,-2.026105905512,-2.03262036861302,-2.03654956830277,-2.03917765579871,-2.04247252381114,-2.04445467503075,-2.0457782975331,-2.0474352952142,-2.04843081419614,-2.04909504481594,-2.04975971711411,-2.05042483164414,-2.05082411286241,-2.05109038895478,-2.05142333382787
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0.05,0.0525559218136982,0.0530120278918549,0.0530823766539582,0.0530955549835229,0.0531001548946182,0.0531022735153543,0.0531034183848417,0.0531045489487472,0.0531050675748375,0.0531053471293617,0.0531056225795161,0.0531057486802053,0.0531058165658854,0.0531058716117451,0.0531059139362309,0.0531059332884667,0.0531059436986631,0.0531059539376542
"8",0.1,0.102614046479825,0.103427213196339,0.103547630382256,0.103569537179302,0.103577049236379,0.103580464736306,0.103582291700741,0.103584075644211,0.103584883440816,0.103585314432435,0.103585734328733,0.10358592407052,0.10358602517468,0.103586106342169,0.103586167977911,0.103586195794853,0.103586210605598,0.103586225008816
"9",0.15,0.150301730161319,0.151389186108371,0.151543789484246,0.151571102682396,0.151580303719068,0.151584433442588,0.151586620037872,0.151588731268081,0.151589674927686,0.151590173278706,0.15159065335432,0.151590867482691,0.151590980416536,0.151591070181175,0.151591137500873,0.151591167489277,0.151591183292989,0.151591198489035
"10",0.2,0.195738818706479,0.197031667967267,0.197208122980235,0.197238394035935,0.197248411765278,0.197252850298967,0.197255176552981,0.197257397533934,0.197258377431312,0.197258889646343,0.197259377547704,0.197259592349226,0.197259704481248,0.197259792724272,0.197259858083439,0.197259886820956,0.197259901810615,0.19725991606198
