"","Ess","SSum"
"1",-5,-6336806110548942
"2",-4,-4750229198081.5
"3",-3,-3560891365.20107
"4",-2,-2669335.33360239
"5",-1,-2000.08660973442
"6",0,0
"7",0.05,0.465495787920486
"8",0.1,0.793003982821004
"9",0.15,1.02397096548633
"10",0.2,1.1873325689334
"11",0.25,1.30329378432715
"12",0.3,1.38596635493307
"13",0.35,1.44520938022472
"14",0.4,1.48791376290718
"15",0.45,1.51889855658575
"16",0.5,1.54153648805063
"17",0.55,1.55819049029693
"18",0.6,1.57051835320523
"19",0.65,1.57968534230919
"20",0.7,1.58651259416215
"21",0.75,1.59158069373431
"22",0.8,1.59530197543579
"23",0.85,1.59797099745809
"24",0.9,1.59979978371186
"25",0.95,1.60094243506786
"26",1,1.60151232114854
"27",1.05,1.6015940936203
"28",1.1,1.60125208483957
"29",1.15,1.60053618320797
"30",1.2,1.59948594686838
"31",1.25,1.59813348728241
"32",1.3,1.59650549366148
"33",1.35,1.59462465717357
"34",1.4,1.59251067565166
"35",1.45,1.5901809649609
"36",1.5,1.58765116509785
"37",1.55,1.5849355025181
"38",1.6,1.5820470516382
"39",1.65,1.57899792551221
"40",1.7,1.57579941664616
"41",1.75,1.57246210260562
"42",1.8,1.56899592666826
"43",1.85,1.5654102606982
"44",1.9,1.56171395527181
"45",1.95,1.55791538058489
"46",2,1.55402246062309
"47",2.2,1.53765172638673
"48",2.4,1.52030653376911
"49",2.6,1.50232869961997
"50",2.8,1.48399412639206
"51",3,1.46552459782119
"52",3.2,1.44709733299615
"53",3.4,1.42885282214367
"54",3.6,1.41090128745332
"55",3.8,1.39332802557709
"56",4,1.37619783366638
"57",4.2,1.35955868097015
"58",4.4,1.3434447573232
"59",4.6,1.32787900563424
"60",4.8,1.31287522614166
"61",5,1.29843982463735
"62",3.5,1.41983457345532
"63",4,1.37619783366638
"64",4.5,1.3355923052556
"65",5,1.29843982463735
"66",6,1.23465865890636
"67",7,1.18375525595927
"68",8,1.14365563235708
"69",9,1.11225573401518
"70",10,1.08772834605396
"71",0,0
"72",0,0
"73",0,0
"74",0,0
"75",0,0
"76",0,0
"77",0,0
"78",0,0
"79",0,0
"80",0,0
"81",0,0
"82",0,0
"83",0,0
"84",0,0
"85",0,0
"86",0,0
"87",0,0
"88",0,0
"89",0,0
"90",0,0
"91",0,0
"92",0,0
"93",0,0
"94",0,0
"95",0,0
"96",0,0
"97",0,0
"98",0,0
"99",0,0
"100",0,0
